AABBCCDDeeFfGGHh,477960546238703073718944485978412115190744088576.00000000
AABBCCDDeeFfGGhh,650615904713871043653256208845786282307488086753280.00000000
AABBCCDDeeFfGgHH,477960546238703073718944485978412115190744088576.00000000
AABBCCDDeeFfGgHh,650615904713871043653256208845786282307488086753280.00000000
AABBCCDDeeFfGghh,885640161720051107401911680385584861389685367880286208.00000000
AABBCCDDeeFfggHH,650615904713871043653256208845786282307488086753280.00000000
AABBCCDDeeFfggHh,885640161720051107401911680385584861389685367880286208.00000000
AABBCCDDeeFfgghh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCCDDeeffGGHH,477960546238703073718944485978412115190744088576.00000000
AABBCCDDeeffGGHh,650615904713871043653256208845786282307488086753280.00000000
AABBCCDDeeffGGhh,885640161720051107401911680385584861389685367880286208.00000000
AABBCCDDeeffGgHH,650615904713871043653256208845786282307488086753280.00000000
AABBCCDDeeffGgHh,885640161720051107401911680385584861389685367880286208.00000000
AABBCCDDeeffGghh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCCDDeeffggHH,885640161720051107401911680385584861389685367880286208.00000000
AABBCCDDeeffggHh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCCDDeeffgghh,1641052807023519319287183638868357361472405819098578085216256.00000000
AABBCCDdEEFFGGHH,189493434871637893042809109267343212544.00000000
AABBCCDdEEFFGGHh,257944810584381314243585862765889644920832.00000000
AABBCCDdEEFFGGhh,351123115966963493036012047346048666087456768.00000000
AABBCCDdEEFFGgHH,257944810584381314243585862765889644920832.00000000
AABBCCDdEEFFGgHh,351123115966963493036012047346048666087456768.00000000
AABBCCDdEEFFGghh,477960546238703073718944485978412115190744088576.00000000
AABBCCDdEEFFggHH,351123115966963493036012047346048666087456768.00000000
AABBCCDdEEFFggHh,477960546238703073718944485978412115190744088576.00000000
AABBCCDdEEFFgghh,650615904713871043653256208845786282307488086753280.00000000
AABBCCDdEEFfGGHH,257944810584381314243585862765889644920832.00000000
AABBCCDdEEFfGGHh,351123115966963493036012047346048666087456768.00000000
AABBCCDdEEFfGGhh,477960546238703073718944485978412115190744088576.00000000
AABBCCDdEEFfGgHH,351123115966963493036012047346048666087456768.00000000
AABBCCDdEEFfGgHh,477960546238703073718944485978412115190744088576.00000000
AABBCCDdEEFfGghh,650615904713871043653256208845786282307488086753280.00000000
AABBCCDdEEFfggHH,477960546238703073718944485978412115190744088576.00000000
AABBCCDdEEFfggHh,650615904713871043653256208845786282307488086753280.00000000
AABBCCDdEEFfgghh,885640161720051107401911680385584861389685367880286208.00000000
AABBCCDdEEffGGHH,351123115966963493036012047346048666087456768.00000000
AABBCCDdEEffGGHh,477960546238703073718944485978412115190744088576.00000000
AABBCCDdEEffGGhh,650615904713871043653256208845786282307488086753280.00000000
AABBCCDdEEffGgHH,477960546238703073718944485978412115190744088576.00000000
AABBCCDdEEffGgHh,650615904713871043653256208845786282307488086753280.00000000
AABBCCDdEEffGghh,885640161720051107401911680385584861389685367880286208.00000000
AABBCCDdEEffggHH,650615904713871043653256208845786282307488086753280.00000000
AABBCCDdEEffggHh,885640161720051107401911680385584861389685367880286208.00000000
AABBCCDdEEffgghh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCCDdEeFFGGHH,257944810584381314243585862765889644920832.00000000
AABBCCDdEeFFGGHh,351123115966963493036012047346048666087456768.00000000
AABBCCDdEeFFGGhh,477960546238703073718944485978412115190744088576.00000000
AABBCCDdEeFFGgHH,351123115966963493036012047346048666087456768.00000000
AABBCCDdEeFFGgHh,477960546238703073718944485978412115190744088576.00000000
AABBCCDdEeFFGghh,650615904713871043653256208845786282307488086753280.00000000
AABBCCDdEeFFggHH,477960546238703073718944485978412115190744088576.00000000
AABBCCDdEeFFggHh,650615904713871043653256208845786282307488086753280.00000000
AABBCCDdEeFFgghh,885640161720051107401911680385584861389685367880286208.00000000
AABBCCDdEeFfGGHH,351123115966963493036012047346048666087456768.00000000
AABBCCDdEeFfGGHh,477960546238703073718944485978412115190744088576.00000000
AABBCCDdEeFfGGhh,650615904713871043653256208845786282307488086753280.00000000
AABBCCDdEeFfGgHH,477960546238703073718944485978412115190744088576.00000000
AABBCCDdEeFfGgHh,650615904713871043653256208845786282307488086753280.00000000
AABBCCDdEeFfGghh,885640161720051107401911680385584861389685367880286208.00000000
AABBCCDdEeFfggHH,650615904713871043653256208845786282307488086753280.00000000
AABBCCDdEeFfggHh,885640161720051107401911680385584861389685367880286208.00000000
AABBCCDdEeFfgghh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCCDdEeffGGHH,477960546238703073718944485978412115190744088576.00000000
AABBCCDdEeffGGHh,650615904713871043653256208845786282307488086753280.00000000
AABBCCDdEeffGGhh,885640161720051107401911680385584861389685367880286208.00000000
AABBCCDdEeffGgHH,650615904713871043653256208845786282307488086753280.00000000
AABBCCDdEeffGgHh,885640161720051107401911680385584861389685367880286208.00000000
AABBCCDdEeffGghh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCCDdEeffggHH,885640161720051107401911680385584861389685367880286208.00000000
AABBCCDdEeffggHh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCCDdEeffgghh,1641052807023519319287183638868357361472405819098578085216256.00000000
AABBCCDdeeFFGGHH,351123115966963493036012047346048666087456768.00000000
AABBCCDdeeFFGGHh,477960546238703073718944485978412115190744088576.00000000
AABBCCDdeeFFGGhh,650615904713871043653256208845786282307488086753280.00000000
AABBCCDdeeFFGgHH,477960546238703073718944485978412115190744088576.00000000
AABBCCDdeeFFGgHh,650615904713871043653256208845786282307488086753280.00000000
AABBCCDdeeFFGghh,885640161720051107401911680385584861389685367880286208.00000000
AABBCCDdeeFFggHH,650615904713871043653256208845786282307488086753280.00000000
AABBCCDdeeFFggHh,885640161720051107401911680385584861389685367880286208.00000000
AABBCCDdeeFFgghh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCCDdeeFfGGHH,477960546238703073718944485978412115190744088576.00000000
AABBCCDdeeFfGGHh,650615904713871043653256208845786282307488086753280.00000000
AABBCCDdeeFfGGhh,885640161720051107401911680385584861389685367880286208.00000000
AABBCCDdeeFfGgHH,650615904713871043653256208845786282307488086753280.00000000
AABBCCDdeeFfGgHh,885640161720051107401911680385584861389685367880286208.00000000
AABBCCDdeeFfGghh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCCDdeeFfggHH,885640161720051107401911680385584861389685367880286208.00000000
AABBCCDdeeFfggHh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCCDdeeFfgghh,1641052807023519319287183638868357361472405819098578085216256.00000000
AABBCCDdeeffGGHH,650615904713871043653256208845786282307488086753280.00000000
AABBCCDdeeffGGHh,885640161720051107401911680385584861389685367880286208.00000000
AABBCCDdeeffGGhh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCCDdeeffGgHH,885640161720051107401911680385584861389685367880286208.00000000
AABBCCDdeeffGgHh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCCDdeeffGghh,1641052807023519319287183638868357361472405819098578085216256.00000000
AABBCCDdeeffggHH,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCCDdeeffggHh,1641052807023519319287183638868357361472405819098578085216256.00000000
